path,arm,suite,concurrency,requests,failures,truncated,median_latency_s,p95_latency_s,median_ttft_s,median_tpot_s,aggregate_output_tokens_per_s,completed_repeats,expected_repeats,median_completion_tokens
run/final-results/general-draft-heldout-c1-1789794018260137444,general-draft,heldout,1,96,0,3,0.7682905939999927,2.3967577837499903,0.024312428500010697,0.00402461970588237,259.42913961611873,3,3,185.5
run/final-results/general-draft-heldout-c16-1789794167462199412,general-draft,heldout,16,96,0,3,1.0404815159999998,3.0425239777499797,0.04253567149999071,0.0048450841702958455,2274.1776704042372,3,3,189.0
run/final-results/general-draft-heldout-c4-1789794136779202670,general-draft,heldout,4,96,0,3,0.8541160960000127,2.839456518249989,0.026131145000007905,0.004328155736523006,899.4930323668556,3,3,189.0
run/final-results/general-draft-humaneval-python-c1-1789794113680908781,general-draft,humaneval-python,1,96,0,0,0.2016289099999824,0.4611233510000048,0.0244122630000021,0.0031344647194639615,284.58280630494386,3,3,59.5
run/final-results/rust-draft-heldout-c1-1789794649213206308,rust-draft,heldout,1,96,0,3,0.681448499499993,2.3138892552499897,0.02486223149998068,0.003595154116379129,286.66284301240904,3,3,185.5
run/final-results/rust-draft-heldout-c16-1789794784541386015,rust-draft,heldout,16,96,0,3,0.9317969709999829,2.777062450749952,0.04556961349993571,0.004425494081141575,2511.1974465637254,3,3,189.0
run/final-results/rust-draft-heldout-c4-1789794758219629234,rust-draft,heldout,4,96,0,3,0.7473184334999701,2.485254552750007,0.025986403499985045,0.003818450637974759,1015.9171435127812,3,3,188.0
run/final-results/rust-draft-humaneval-python-c1-1789794735609694873,rust-draft,humaneval-python,1,96,0,0,0.20802028700001074,0.43879322500004037,0.023615597000002708,0.003175791889756702,290.7639807387824,3,3,59.5
run/final-results/target-heldout-c1-1789794285526617134,target,heldout,1,96,0,3,1.23704532550002,5.542559637750017,0.01867522499998131,0.006610256028241699,149.6996537220913,3,3,185.5
run/final-results/target-heldout-c16-1789794545636456250,target,heldout,16,96,0,3,1.4833081604999734,6.744466222000057,0.04007356150003716,0.007640429577272741,1062.4829970205762,3,3,186.0
run/final-results/target-heldout-c4-1789794495453627027,target,heldout,4,96,0,3,1.3216180255000154,5.850068124249987,0.024071328999980324,0.006948838123924848,534.4680104186222,3,3,188.0
run/final-results/target-humaneval-python-c1-1789794451138570185,target,humaneval-python,1,96,0,0,0.4035272094999982,0.966930141000006,0.018135601499977838,0.006586653900639714,147.47087363022445,3,3,59.5
